"NIS_code","municipality_NL","municipality_FR","arrondissement_NL","arrondissement_FR","province_NL","province_FR","region_NL","region_FR","inhabitants","zip"
11001,"Aartselaar","Aartselaar","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","14,304",2630
11002,"Antwerpen","Anvers","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","523,248",2000
11004,"Boechout","Boechout","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","13,120",2530
11005,"Boom","Boom","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","17,970",2850
11007,"Borsbeek","Borsbeek","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","10,685",2150
11008,"Brasschaat","Brasschaat","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","37,850",2930
11009,"Brecht","Brecht","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","29,010",2960
11013,"Edegem","Edegem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","21,947",2650
11016,"Essen","Essen","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","19,079",2910
11018,"Hemiksem","Hemiksem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","11,368",2620
11021,"Hove","Hove","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8,115",2540
11022,"Kalmthout","Kalmthout","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","18,608",2920
11023,"Kapellen","Kapellen","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","26,771",
11024,"Kontich","Kontich","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","21,074",2550
11025,"Lint","Lint","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8,787",2547
11029,"Mortsel","Mortsel","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","25,824",2640
11030,"Niel","Niel","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","10,424",2845
11035,"Ranst","Ranst","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","18,981",2520
11037,"Rumst","Rumst","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","15,114",2840
11038,"Schelle","Schelle","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8,433",2627
11039,"Schilde","Schilde","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","19,585",2970
11040,"Schoten","Schoten","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","34,462",2900
11044,"Stabroek","Stabroek","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","18,529",2940
11050,"Wijnegem","Wijnegem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","9,711",2110
11052,"Wommelgem","Wommelgem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","12,893",2160
11053,"Wuustwezel","Wuustwezel","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","20,671",2990
11054,"Zandhoven","Zandhoven","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","12,985",2240
11055,"Zoersel","Zoersel","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","21,739",2980
11056,"Zwijndrecht","Zwijndrecht","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","19,002",2070
11057,"Malle","Malle","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","15,304",2390
12002,"Berlaar","Berlaar","Mechelen","Malines","Antwerpen","Anvers","Vlaams Gewest","Région flamande","11,507",2590
12005,"Bonheiden","Bonheiden","Mechelen","Malines","Antwerpen","Anvers","Vlaams Gewest","Région flamande","14,951",2820
12007,"Bornem","Bornem","Mechelen","Malines","Antwerpen","Anvers","Vlaams Gewest","Région flamande","21,186",2880
12009,"Duffel","Duffel","Mechelen","Malines","Antwerpen","Anvers","Vlaams Gewest","Région flamande","17,385",2570
12014,"Heist-op-den-Berg","Heist-op-den-Berg","Mechelen","Malines","Antwerpen","Anvers","Vlaams Gewest","Région flamande","42,478",2221
12021,"Lier","Lierre","Mechelen","Malines","Antwerpen","Anvers","Vlaams Gewest","Région flamande","35,712",2500
12025,"Mechelen","Malines","Mechelen","Malines","Antwerpen","Anvers","Vlaams Gewest","Région flamande","86,304",2801
12026,"Nijlen","Nijlen","Mechelen","Malines","Antwerpen","Anvers","Vlaams Gewest","Région flamande","22,813",2560
